name,id,address,date,kWh,public_url,installationDate,uid
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/15 11:00:00 AM,5.898,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-15 11:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/15 12:00:00 PM,5.212,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-15 12:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/15 01:00:00 PM,3.275,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-15 13:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/15 02:00:00 PM,6.582,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-15 14:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/15 03:00:00 PM,2.892,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-15 15:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/15 04:00:00 PM,3.037,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-15 16:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/15 05:00:00 PM,2.048,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-15 17:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/15 06:00:00 PM,2.487,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-15 18:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/15 07:00:00 PM,0.256,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-15 19:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/16 07:00:00 AM,0.182,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-16 07:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/16 08:00:00 AM,1.725,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-16 08:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/16 09:00:00 AM,3.858,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-16 09:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/16 10:00:00 AM,7.589,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-16 10:00:00
